slug,artigo,pagina,imagem_local,texto_alternativo,legenda,licenca,fonte,status
ibia,Ibiá,artigo-ibia.html,img/wikipedia/ibia/image.jpg,Ibiá,Ibiá — imagem ilustrativa.,Public domain,https://commons.wikimedia.org/wiki/File%3ABandeira_de_Ibi%C3%A1.jpg,local e com legenda/crédito
nova-ponte,Nova Ponte,artigo-nova-ponte.html,img/wikipedia/nova-ponte/image.jpeg,Nova Ponte,Nova Ponte — imagem ilustrativa.,CC0,https://commons.wikimedia.org/wiki/File%3ABandeira_de_Nova_Ponte-MG.jpeg,local e com legenda/crédito
pedrinopolis,Pedrinópolis,artigo-pedrinopolis.html,,,,,,sem imagem local; consultar fonte manualmente
perdizes,Perdizes,artigo-perdizes.html,,,,,,sem imagem local; consultar fonte manualmente
pratinha,Pratinha,artigo-pratinha.html,,,,,,sem imagem local; consultar fonte manualmente
santa-juliana,Santa Juliana,artigo-santa-juliana.html,,,,,,sem imagem local; consultar fonte manualmente
tapira,Tapira,artigo-tapira.html,,,,,,sem imagem local; consultar fonte manualmente
campina-verde,Campina Verde,artigo-campina-verde.html,,,,,,sem imagem local; consultar fonte manualmente
carneirinho,Carneirinho,artigo-carneirinho.html,,,,,,sem imagem local; consultar fonte manualmente
comendador-gomes,Comendador Gomes,artigo-comendador-gomes.html,,,,,,sem imagem local; consultar fonte manualmente
fronteira,Fronteira,artigo-fronteira.html,,,,,,sem imagem local; consultar fonte manualmente
itapagipe,Itapagipe,artigo-itapagipe.html,,,,,,sem imagem local; consultar fonte manualmente
iturama,Iturama,artigo-iturama.html,,,,,,sem imagem local; consultar fonte manualmente
limeira-do-oeste,Limeira do Oeste,artigo-limeira-do-oeste.html,,,,,,sem imagem local; consultar fonte manualmente
pirajuba,Pirajuba,artigo-pirajuba.html,,,,,,sem imagem local; consultar fonte manualmente
planura,Planura,artigo-planura.html,,,,,,sem imagem local; consultar fonte manualmente
sao-francisco-de-sales,São Francisco de Sales,artigo-sao-francisco-de-sales.html,,,,,,sem imagem local; consultar fonte manualmente
uniao-de-minas,União de Minas,artigo-uniao-de-minas.html,,,,,,sem imagem local; consultar fonte manualmente
cachoeira-dourada,Cachoeira Dourada,artigo-cachoeira-dourada.html,,,,,,sem imagem local; consultar fonte manualmente
capinopolis,Capinópolis,artigo-capinopolis.html,,,,,,sem imagem local; consultar fonte manualmente
gurinhata,Gurinhatã,artigo-gurinhata.html,img/wikipedia/gurinhata/image.jpg,Gurinhatã,Gurinhatã — imagem da página correspondente na Wikipédia.,Public domain,https://commons.wikimedia.org/wiki/File:Gurinhat%C3%A3mgbandeira.jpg,local e com legenda/crédito
ipiacu,Ipiaçu,artigo-ipiacu.html,,,,,,sem imagem local; consultar fonte manualmente
santa-vitoria,Santa Vitória,artigo-santa-vitoria.html,,,,,,sem imagem local; consultar fonte manualmente
arapua,Arapuá,artigo-arapua.html,img/wikipedia/arapua/image.png,Arapuá,Arapuá — imagem da página correspondente na Wikipédia.,Public domain,https://commons.wikimedia.org/wiki/File:Arapu%C3%A1mgbrasoes.png,local e com legenda/crédito
carmo-do-paranaiba,Carmo do Paranaíba,artigo-carmo-do-paranaiba.html,,,,,,sem imagem local; consultar fonte manualmente
guimarania,Guimarânia,artigo-guimarania.html,,,,,,sem imagem local; consultar fonte manualmente
lagoa-formosa,Lagoa Formosa,artigo-lagoa-formosa.html,,,,,,sem imagem local; consultar fonte manualmente
matutina,Matutina,artigo-matutina.html,,,,,,sem imagem local; consultar fonte manualmente
patos-de-minas,Patos de Minas,artigo-patos-de-minas.html,img/wikipedia/patos-de-minas/image.jpg,Patos de Minas,Patos de Minas — imagem da página correspondente na Wikipédia.,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Patos-de-Minas-MG.jpg,local e com legenda/crédito
rio-paranaiba-mg,Rio Paranaíba,artigo-rio-paranaiba-mg.html,img/wikipedia/rio-paranaiba-mg/image.jpg,Rio Paranaíba,Rio Paranaíba — imagem da página correspondente na Wikipédia.,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:MedioParanaiba-AraporaXItumbia-MGxGO.jpg,local e com legenda/crédito
santa-rosa-da-serra,Santa Rosa da Serra,artigo-santa-rosa-da-serra.html,,,,,,sem imagem local; consultar fonte manualmente
sao-gotardo,São Gotardo,artigo-sao-gotardo.html,,,,,,sem imagem local; consultar fonte manualmente
tiros,Tiros,artigo-tiros.html,,,,,,sem imagem local; consultar fonte manualmente
abadia-dos-dourados,Abadia dos Dourados,artigo-abadia-dos-dourados.html,img/wikipedia/abadia-dos-dourados/image.png,Abadia dos Dourados,Abadia dos Dourados — imagem da página correspondente na Wikipédia.,CC0,https://commons.wikimedia.org/wiki/File:Abadia-dos-dourados-bandeira.png,local e com legenda/crédito
coromandel,Coromandel,artigo-coromandel.html,,,,,,sem imagem local; consultar fonte manualmente
cruzeiro-da-fortaleza,Cruzeiro da Fortaleza,artigo-cruzeiro-da-fortaleza.html,,,,,,sem imagem local; consultar fonte manualmente
douradoquara,Douradoquara,artigo-douradoquara.html,img/wikipedia/douradoquara/image.jpg,Douradoquara,Douradoquara — imagem da página correspondente na Wikipédia.,Public domain,https://commons.wikimedia.org/wiki/File:Perdizes.jpg,local e com legenda/crédito
estrela-do-sul,Estrela do Sul,artigo-estrela-do-sul.html,,,,,,sem imagem local; consultar fonte manualmente
grupiara,Grupiara,artigo-grupiara.html,,,,,,sem imagem local; consultar fonte manualmente
irai-de-minas,Iraí de Minas,artigo-irai-de-minas.html,,,,,,sem imagem local; consultar fonte manualmente
monte-carmelo,Monte Carmelo,artigo-monte-carmelo.html,img/wikipedia/monte-carmelo/image.jpg,Monte Carmelo,Monte Carmelo — imagem da página correspondente na Wikipédia.,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:MountCarmel1.JPG,local e com legenda/crédito
patrocinio,Patrocínio,artigo-patrocinio.html,,,,,,sem imagem local; consultar fonte manualmente
romaria,Romaria,artigo-romaria.html,,,,,,sem imagem local; consultar fonte manualmente
serra-do-salitre,Serra do Salitre,artigo-serra-do-salitre.html,,,,,,sem imagem local; consultar fonte manualmente
agua-comprida,Água Comprida,artigo-agua-comprida.html,,,,,,sem imagem local; consultar fonte manualmente
campo-florido,Campo Florido,artigo-campo-florido.html,,,,,,sem imagem local; consultar fonte manualmente
conceicao-das-alagoas,Conceição das Alagoas,artigo-conceicao-das-alagoas.html,,,,,,sem imagem local; consultar fonte manualmente
conquista,Conquista,artigo-conquista.html,,,,,,sem imagem local; consultar fonte manualmente
delta,Delta,artigo-delta.html,,,,,,sem imagem local; consultar fonte manualmente
verissimo,Veríssimo,artigo-verissimo.html,,,,,,sem imagem local; consultar fonte manualmente
araguari,Araguari,artigo-araguari.html,,,,,,sem imagem local; consultar fonte manualmente
arapora,Araporã,artigo-arapora.html,img/wikipedia/arapora/image.jpg,Araporã,Araporã — imagem da página correspondente na Wikipédia.,Public domain,https://commons.wikimedia.org/wiki/File:Arapora-Foto-Aerea-2005.jpg,local e com legenda/crédito
canapolis,Canápolis,artigo-canapolis.html,,,,,,sem imagem local; consultar fonte manualmente
cascalho-rico,Cascalho Rico,artigo-cascalho-rico.html,,,,,,sem imagem local; consultar fonte manualmente
centralina,Centralina,artigo-centralina.html,,,,,,sem imagem local; consultar fonte manualmente
indianopolis,Indianópolis,artigo-indianopolis.html,,,,,,sem imagem local; consultar fonte manualmente
monte-alegre-de-minas,Monte Alegre de Minas,artigo-monte-alegre-de-minas.html,,,,,,sem imagem local; consultar fonte manualmente
prata,Prata,artigo-prata.html,,,,,,sem imagem local; consultar fonte manualmente
tupaciguara,Tupaciguara,artigo-tupaciguara.html,img/wikipedia/tupaciguara/image.jpg,Tupaciguara,Tupaciguara — imagem da página correspondente na Wikipédia.,Public domain,https://commons.wikimedia.org/wiki/File:Bandeiratupaciguara.jpg,local e com legenda/crédito
capitao-mor-jose-vieira-da-silva,Capitão-Mór José Vieira da Silva,artigo-capitao-mor-jose-vieira-da-silva.html,,,,,,sem imagem local; consultar fonte manualmente
ana-maria-da-conceicao,Ana Maria da Conceição,artigo-ana-maria-da-conceicao.html,,,,,,sem imagem local; consultar fonte manualmente
alferes-joaquim-antonio-de-lima,Alferes Joaquim Antônio de Lima,artigo-alferes-joaquim-antonio-de-lima.html,,,,,,sem imagem local; consultar fonte manualmente
rita-candida-de-jesus,Rita Cândida de Jesus,artigo-rita-candida-de-jesus.html,,,,,,sem imagem local; consultar fonte manualmente
severino-jose-vieira,Severino José Vieira,artigo-severino-jose-vieira.html,,,,,,sem imagem local; consultar fonte manualmente
maria-antonia-de-lima,Maria Antônia de Lima,artigo-maria-antonia-de-lima.html,,,,,,sem imagem local; consultar fonte manualmente
maria-jose-da-conceicao,"Maria José da Conceição, Baronesa da Rifaina",artigo-maria-jose-da-conceicao.html,,,,,,sem imagem local; consultar fonte manualmente
manuel-joaquim-de-santana,Manuel Joaquim de Sant'Ana,artigo-manuel-joaquim-de-santana.html,,,,,,sem imagem local; consultar fonte manualmente
maria-jose-da-silva-sogra-do-barao,Maria José da Silva (sogra do Barão da Rifaina),artigo-maria-jose-da-silva-sogra-do-barao.html,,,,,,sem imagem local; consultar fonte manualmente
ernesto-de-paula-vieira,Ernesto de Paula Vieira,artigo-ernesto-de-paula-vieira.html,,,,,,sem imagem local; consultar fonte manualmente
amelia-vieira,Amélia Vieira,artigo-amelia-vieira.html,,,,,,sem imagem local; consultar fonte manualmente
agnelo-de-paula-vieira,Agnelo de Paula Vieira,artigo-agnelo-de-paula-vieira.html,,,,,,sem imagem local; consultar fonte manualmente
maria-candida-vieira,Maria Cândida Vieira,artigo-maria-candida-vieira.html,,,,,,sem imagem local; consultar fonte manualmente
descendente-doadora-do-acervo-barao-da-rifaina,Descendente doadora do acervo do Barão da Rifaina,artigo-descendente-doadora-do-acervo-barao-da-rifaina.html,,,,,,sem imagem local; consultar fonte manualmente
vicentina-de-paula-vieira,Vicentina de Paula Vieira,artigo-vicentina-de-paula-vieira.html,,,,,,sem imagem local; consultar fonte manualmente
capitao-vicente-de-paula-vieira-junior,Capitão Vicente de Paula Vieira Júnior,artigo-capitao-vicente-de-paula-vieira-junior.html,,,,,,sem imagem local; consultar fonte manualmente
maria-jose-vieira-de-almeida,Maria José Vieira de Almeida,artigo-maria-jose-vieira-de-almeida.html,,,,,,sem imagem local; consultar fonte manualmente
jose-vieira-de-paula,Doutor José Vieira de Paula,artigo-jose-vieira-de-paula.html,,,,,,sem imagem local; consultar fonte manualmente
olympia-vieira-de-santana,Olympia Vieira de Santana,artigo-olympia-vieira-de-santana.html,,,,,,sem imagem local; consultar fonte manualmente
vicente-de-paula-vieira-neto,"Coronel Vicente de Paula Vieira Neto (""Vicentinho"")",artigo-vicente-de-paula-vieira-neto.html,,,,,,sem imagem local; consultar fonte manualmente
laura-vieira-de-oliveira,Laura Vieira de Oliveira,artigo-laura-vieira-de-oliveira.html,,,,,,sem imagem local; consultar fonte manualmente
tenente-joaquim-jose-vieira,Tenente Joaquim José Vieira,artigo-tenente-joaquim-jose-vieira.html,,,,,,sem imagem local; consultar fonte manualmente
ana-antonia-de-lima,"Ana Antônia de Lima (""Ana Vieira"")",artigo-ana-antonia-de-lima.html,,,,,,sem imagem local; consultar fonte manualmente
major-severino-jose-vieira-filho,Major Severino José Vieira Filho,artigo-major-severino-jose-vieira-filho.html,,,,,,sem imagem local; consultar fonte manualmente
capitao-manuel-antonio-de-santana,Capitão Manuel Antônio de Santana,artigo-capitao-manuel-antonio-de-santana.html,,,,,,sem imagem local; consultar fonte manualmente
francisca-de-paula-santana,Francisca de Paula Santana,artigo-francisca-de-paula-santana.html,,,,,,sem imagem local; consultar fonte manualmente
coronel-jose-affonso-de-almeida,Coronel José Affonso de Almeida,artigo-coronel-jose-affonso-de-almeida.html,,,,,,sem imagem local; consultar fonte manualmente
coronel-antonio-carlos-da-silva,Coronel Antônio Carlos da Silva,artigo-coronel-antonio-carlos-da-silva.html,,,,,,sem imagem local; consultar fonte manualmente
major-joao-baptista-de-siqueira,Major João Baptista de Siqueira,artigo-major-joao-baptista-de-siqueira.html,,,,,,sem imagem local; consultar fonte manualmente
capitao-francisco-jose-de-oliveira,Capitão Francisco José de Oliveira,artigo-capitao-francisco-jose-de-oliveira.html,,,,,,sem imagem local; consultar fonte manualmente
padre-hermogenes-cassimiro-de-araujo-brunswick,Padre Hermógenes Cassimiro de Araujo Brunswick,artigo-padre-hermogenes-cassimiro-de-araujo-brunswick.html,,,,,,sem imagem local; consultar fonte manualmente
doutor-antonio-de-cerqueira-lima,Juiz de Direito Doutor Antônio de Cerqueira Lima,artigo-doutor-antonio-de-cerqueira-lima.html,,,,,,sem imagem local; consultar fonte manualmente
senador-manuel-da-silva-prata,Senador Manuel da Silva Prata,artigo-senador-manuel-da-silva-prata.html,,,,,,sem imagem local; consultar fonte manualmente
afonso-pena,Afonso Pena,artigo-afonso-pena.html,img/wikipedia/afonso-pena/image.jpg,"Retrato fotográfico de Afonso Pena, por volta de 1906","Afonso Pena, retrato oficial de 1906.",Domínio público,https://commons.wikimedia.org/wiki/File:Afonso_Pena.jpg,local e com legenda/crédito
lafayette-rodrigues-pereira,Lafayette Rodrigues Pereira,artigo-lafayette-rodrigues-pereira.html,,,,,,sem imagem local; consultar fonte manualmente
martim-francisco-ribeiro-de-andrada,Martim Francisco Ribeiro de Andrada,artigo-martim-francisco-ribeiro-de-andrada.html,,,,,,sem imagem local; consultar fonte manualmente
joaquim-delaney,Joaquim Delaney,artigo-joaquim-delaney.html,,,,,,sem imagem local; consultar fonte manualmente
antonio-augusto-de-lima,Antônio Augusto de Lima,artigo-antonio-augusto-de-lima.html,,,,,,sem imagem local; consultar fonte manualmente
francisco-luis-da-veiga,Francisco Luís da Veiga,artigo-francisco-luis-da-veiga.html,,,,,,sem imagem local; consultar fonte manualmente
bernardo-avelino-gaviao-peixoto,Bernardo Avelino Gavião Peixoto,artigo-bernardo-avelino-gaviao-peixoto.html,,,,,,sem imagem local; consultar fonte manualmente
jose-bento-leite-ferreira-de-melo,José Bento Leite Ferreira de Melo,artigo-jose-bento-leite-ferreira-de-melo.html,,,,,,sem imagem local; consultar fonte manualmente
teofilo-otoni,Teófilo Otoni,artigo-teofilo-otoni.html,,,,,,sem imagem local; consultar fonte manualmente
guarda-nacional-no-triangulo-mineiro,Guarda Nacional no Triângulo Mineiro e Alto Paranaíba,artigo-guarda-nacional-no-triangulo-mineiro.html,,,,,,sem imagem local; consultar fonte manualmente
eleitorado-paroquial-partido-liberal-triangulo-mineiro,"Eleitorado paroquial e Partido Liberal em Sacramento, Uberaba e Araxá",artigo-eleitorado-paroquial-partido-liberal-triangulo-mineiro.html,,,,,,sem imagem local; consultar fonte manualmente
justica-de-paz-administracao-municipal-sacramento-rifaina,Justiça de paz e administração municipal de Sacramento e Rifaina,artigo-justica-de-paz-administracao-municipal-sacramento-rifaina.html,,,,,,sem imagem local; consultar fonte manualmente
estrada-de-ferro-mogiana,Estrada de Ferro Mogiana,artigo-estrada-de-ferro-mogiana.html,img/wikipedia/estrada-de-ferro-mogiana/image.jpg,"Trem de carga histórico da Companhia Mogiana de Estradas de Ferro, década de 1960","Trem de carga da Companhia Mogiana de Estradas de Ferro, década de 1960.",CC BY-SA,https://commons.wikimedia.org/wiki/File:Companhia_Mogiana_-_Trem_de_carga_(D%C3%A9cada_de_1960).jpg,local e com legenda/crédito
rio-grande,Rio Grande,artigo-rio-grande.html,,,,,,sem imagem local; consultar fonte manualmente
ciclo-do-cafe-no-triangulo-mineiro,Ciclo do café no Triângulo Mineiro e Alto Paranaíba,artigo-ciclo-do-cafe-no-triangulo-mineiro.html,,,,,,sem imagem local; consultar fonte manualmente
paroquia-nossa-senhora-do-patrocinio-santissimo-sacramento,Paróquia de Nossa Senhora do Patrocínio do Santíssimo Sacramento,artigo-paroquia-nossa-senhora-do-patrocinio-santissimo-sacramento.html,,,,,,sem imagem local; consultar fonte manualmente
domingos-da-silva-e-oliveira,Capitão Domingos da Silva e Oliveira,artigo-domingos-da-silva-e-oliveira.html,,,,,,sem imagem local; consultar fonte manualmente
eustaquio-da-silva-e-oliveira,Major Eustáquio da Silva e Oliveira,artigo-eustaquio-da-silva-e-oliveira.html,,,,,,sem imagem local; consultar fonte manualmente
frei-eugenio-maria-da-genova,Frei Eugênio Maria da Gênova,artigo-frei-eugenio-maria-da-genova.html,,,,,,sem imagem local; consultar fonte manualmente
padre-zeferino-batista-do-carmo,Padre Zeferino Batista do Carmo,artigo-padre-zeferino-batista-do-carmo.html,,,,,,sem imagem local; consultar fonte manualmente
fidelis-goncalves-reis,Fidélis Gonçalves Reis,artigo-fidelis-goncalves-reis.html,,,,,,sem imagem local; consultar fonte manualmente
crispim-jacques-bias-fortes,Chrispim Jacques Bias Fortes,artigo-crispim-jacques-bias-fortes.html,,,,,,sem imagem local; consultar fonte manualmente
elite-agraria-escravocrata-do-triangulo-mineiro-imperial,Elite agrária escravocrata do Triângulo Mineiro no Império,artigo-elite-agraria-escravocrata-do-triangulo-mineiro-imperial.html,,,,,,sem imagem local; consultar fonte manualmente
clero-catolico-no-triangulo-mineiro-imperial,Clero católico no Triângulo Mineiro durante o Império,artigo-clero-catolico-no-triangulo-mineiro-imperial.html,,,,,,sem imagem local; consultar fonte manualmente
escravidao-e-alforria-no-triangulo-mineiro-imperial,Escravidão e alforria no Triângulo Mineiro durante o Império,artigo-escravidao-e-alforria-no-triangulo-mineiro-imperial.html,,,,,,sem imagem local; consultar fonte manualmente
violencia-domestica-contra-pessoas-escravizadas-no-brasil-imperial,Violência doméstica contra pessoas escravizadas no Brasil Imperial,artigo-violencia-domestica-contra-pessoas-escravizadas-no-brasil-imperial.html,,,,,,sem imagem local; consultar fonte manualmente
minas-gerais,Minas Gerais,artigo-minas-gerais.html,,,,,,sem imagem local; consultar fonte manualmente
goias,Goiás,artigo-goias.html,,,,,,sem imagem local; consultar fonte manualmente
sao-paulo,São Paulo (estado),artigo-sao-paulo.html,,,,,,sem imagem local; consultar fonte manualmente
parana,Rio Paraná,artigo-parana.html,,,,,,sem imagem local; consultar fonte manualmente
instituto-barao-da-rifaina,Instituto Barão da Rifaina,artigo-instituto-barao-da-rifaina.html,,,,,,sem imagem local; consultar fonte manualmente
adalardo-muniz-borges,Adalardo Muniz Borges,artigo-adalardo-muniz-borges.html,,,,,,sem imagem local; consultar fonte manualmente
ana-urzedo-de-queiroz,Ana Urzedo de Queiroz,artigo-ana-urzedo-de-queiroz.html,,,,,,sem imagem local; consultar fonte manualmente
antonio-de-paula-e-silva,António de Paula e Silva,artigo-antonio-de-paula-e-silva.html,,,,,,sem imagem local; consultar fonte manualmente
antonio-pires-de-campos,Antônio Pires de Campos,artigo-antonio-pires-de-campos.html,,,,,,sem imagem local; consultar fonte manualmente
auguste-de-saint-hilaire,Auguste de Saint-Hilaire,artigo-auguste-de-saint-hilaire.html,img/wikipedia/auguste-de-saint-hilaire/image.jpg,Retrato de Auguste de Saint-Hilaire,Auguste de Saint-Hilaire (1779–1853).,Domínio público,https://commons.wikimedia.org/wiki/File:Auguste_de_Saint-Hilaire.jpg,local e com legenda/crédito
bartolomeu-bueno-da-silva-anhanguera,"Bartolomeu Bueno da Silva, o Anhanguera",artigo-bartolomeu-bueno-da-silva-anhanguera.html,img/wikipedia/bartolomeu-bueno-da-silva-anhanguera/image.jpg,"Estátua de Bartolomeu Bueno da Silva, o Anhanguera, no Parque Trianon, em São Paulo","Estátua do Anhanguera, Parque Trianon (São Paulo), obra de Luigi Brizzolara — a mesma imagem usada nos artigos sobre ele na Wikipédia em português e em inglês.",CC BY-SA,"https://commons.wikimedia.org/wiki/File:Anhanguera_by_Luigi_Brizzolara_-_Parque_Trianon_-_S%C3%A3o_Paulo,_Brazil_-_DSC07443.JPG",local e com legenda/crédito
capela-sao-jose-do-rio-tijuco,Capela de São José do Rio Tijuco,artigo-capela-sao-jose-do-rio-tijuco.html,,,,,,sem imagem local; consultar fonte manualmente
carolina-teodoro-de-castro,Carolina Teodoro de Castro,artigo-carolina-teodoro-de-castro.html,,,,,,sem imagem local; consultar fonte manualmente
cemiterio-sao-miguel-uberaba,Cemitério São Miguel (Uberaba),artigo-cemiterio-sao-miguel-uberaba.html,,,,,,sem imagem local; consultar fonte manualmente
clara-chaves,Clara Chaves,artigo-clara-chaves.html,,,,,,sem imagem local; consultar fonte manualmente
conde-de-valadares,Conde de Valadares,artigo-conde-de-valadares.html,,,,,,sem imagem local; consultar fonte manualmente
coronel-francisco-meireles-do-carmo,Coronel Francisco Meireles do Carmo,artigo-coronel-francisco-meireles-do-carmo.html,,,,,,sem imagem local; consultar fonte manualmente
coronel-jose-de-paula-gouveia,Coronel José de Paula Gouveia,artigo-coronel-jose-de-paula-gouveia.html,,,,,,sem imagem local; consultar fonte manualmente
estrada-de-goias,Estrada de Goiás,artigo-estrada-de-goias.html,,,,,,sem imagem local; consultar fonte manualmente
fazenda-corguinho,Fazenda Córguinho,artigo-fazenda-corguinho.html,,,,,,sem imagem local; consultar fonte manualmente
fazenda-corrego-do-cerrado,Fazenda Córrego do Cerrado,artigo-fazenda-corrego-do-cerrado.html,,,,,,sem imagem local; consultar fonte manualmente
francisca-justiniana-de-andrade,Francisca Justiniana de Andrade,artigo-francisca-justiniana-de-andrade.html,,,,,,sem imagem local; consultar fonte manualmente
igreja-do-rosario-de-uberaba,Igreja do Rosário de Uberaba,artigo-igreja-do-rosario-de-uberaba.html,,,,,,sem imagem local; consultar fonte manualmente
inconfidencia-mineira,Inconfidência Mineira,artigo-inconfidencia-mineira.html,,,,,,sem imagem local; consultar fonte manualmente
jeronimo-maximiano-da-silva,Jerônimo Maximiano da Silva,artigo-jeronimo-maximiano-da-silva.html,,,,,,sem imagem local; consultar fonte manualmente
joaquim-antonio-de-morais,Joaquim Antônio de Morais,artigo-joaquim-antonio-de-morais.html,,,,,,sem imagem local; consultar fonte manualmente
jose-candido-de-lima,José Cândido de Lima,artigo-jose-candido-de-lima.html,,,,,,sem imagem local; consultar fonte manualmente
jose-cirilo-de-paula,José Cirilo de Paula,artigo-jose-cirilo-de-paula.html,,,,,,sem imagem local; consultar fonte manualmente
jose-da-silva-ramos-ituiutaba,José da Silva Ramos (Ituiutaba),artigo-jose-da-silva-ramos-ituiutaba.html,,,,,,sem imagem local; consultar fonte manualmente
jose-de-souza-lima,José de Souza Lima,artigo-jose-de-souza-lima.html,,,,,,sem imagem local; consultar fonte manualmente
llewellyn-ivor-price,Llewellyn Ivor Price,artigo-llewellyn-ivor-price.html,img/wikipedia/llewellyn-ivor-price/image.png,Retrato de Llewellyn Ivor Price,Llewellyn Ivor Price (1905–1980).,CC BY-SA,https://commons.wikimedia.org/wiki/File:Llewellyn_Ivor_Price.png,local e com legenda/crédito
lourenco-castanho-taques,Lourenço Castanho Taques,artigo-lourenco-castanho-taques.html,,,,,,sem imagem local; consultar fonte manualmente
manuel-bernardes-nazianzeno-da-silveira,Manuel Bernardes Nazianzeno da Silveira,artigo-manuel-bernardes-nazianzeno-da-silveira.html,,,,,,sem imagem local; consultar fonte manualmente
marcondes-alves-de-queiroz,Marcondes Alves de Queiroz,artigo-marcondes-alves-de-queiroz.html,,,,,,sem imagem local; consultar fonte manualmente
mauricio-goulart-fronteira,Maurício Goulart (fundador de Fronteira),artigo-mauricio-goulart-fronteira.html,,,,,,sem imagem local; consultar fonte manualmente
nicolau-antonio,Nicolau Antônio,artigo-nicolau-antonio.html,,,,,,sem imagem local; consultar fonte manualmente
parque-do-barreiro,Parque do Barreiro,artigo-parque-do-barreiro.html,,,,,,sem imagem local; consultar fonte manualmente
santa-casa-de-misericordia-de-uberaba,Santa Casa de Misericórdia de Uberaba,artigo-santa-casa-de-misericordia-de-uberaba.html,,,,,,sem imagem local; consultar fonte manualmente
revolucao-de-1842,Revolução de 1842,artigo-revolucao-de-1842.html,,,,,,sem imagem local; consultar fonte manualmente
lei-do-ventre-livre,Lei do Ventre Livre,artigo-lei-do-ventre-livre.html,,,,,,sem imagem local; consultar fonte manualmente
lei-dos-sexagenarios,Lei dos Sexagenários,artigo-lei-dos-sexagenarios.html,,,,,,sem imagem local; consultar fonte manualmente
lei-aurea,Lei Áurea,artigo-lei-aurea.html,,,,,,sem imagem local; consultar fonte manualmente
partido-conservador,Partido Conservador,artigo-partido-conservador.html,,,,,,sem imagem local; consultar fonte manualmente
